ID,Name,Works API URL,Works Count,H-Index,Country Code
https://openalex.org/A5082130337,A. Marthe Möller,https://api.openalex.org/works?filter=author.id:A5082130337,13,6,NL
https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,284,48,US
https://openalex.org/A5089395967,Aaron Nichols,https://api.openalex.org/works?filter=author.id:A5089395967,10,2,US
https://openalex.org/A5053043999,Aaron J. Schein,https://api.openalex.org/works?filter=author.id:A5053043999,19,16,US
https://openalex.org/A5082332656,Abdul Basit Adeel,https://api.openalex.org/works?filter=author.id:A5082332656,9,4,US
https://openalex.org/A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,97,13,US
https://openalex.org/A5113886631,Abigail L. Horn,https://api.openalex.org/works?filter=author.id:A5113886631,25,8,US
https://openalex.org/A5045620226,Abigail Z. Jacobs,https://api.openalex.org/works?filter=author.id:A5045620226,39,11,US
https://openalex.org/A5073592405,Abraham Bernstein,https://api.openalex.org/works?filter=author.id:A5073592405,384,53,CH
https://openalex.org/A5068763840,A Israeli,https://api.openalex.org/works?filter=author.id:A5068763840,108,19,IL
https://openalex.org/A5083303782,S. Kellogg,https://api.openalex.org/works?filter=author.id:A5083303782,81,11,FR
,Achyutarama R Ganti,,,,
https://openalex.org/A5054913386,Adam J. Berinsky,https://api.openalex.org/works?filter=author.id:A5054913386,214,41,US
https://openalex.org/A5071293344,Adam Fourney,https://api.openalex.org/works?filter=author.id:A5071293344,82,20,US
https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,37,5,HU
https://openalex.org/A5109586591,Anil K. Gulati,https://api.openalex.org/works?filter=author.id:A5109586591,53,21,US
,Adolfo Fuentes-Jofre,,,,
https://openalex.org/A5031106143,Adrián Arnaiz-Rodríguez,https://api.openalex.org/works?filter=author.id:A5031106143,13,3,ES
https://openalex.org/A5018574266,Adrian Zhou,https://api.openalex.org/works?filter=author.id:A5018574266,9,3,US
https://openalex.org/A5040820784,Afsaneh Razi,https://api.openalex.org/works?filter=author.id:A5040820784,49,14,US
https://openalex.org/A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,19,7,DE
https://openalex.org/A5102415619,Ahana Bhattacharya,https://api.openalex.org/works?filter=author.id:A5102415619,8,4,IN
,Aidan Chang-Lee,,,,
https://openalex.org/A5075314395,Akhil Arora,https://api.openalex.org/works?filter=author.id:A5075314395,38,16,US
https://openalex.org/A5026854954,A. Inomata,https://api.openalex.org/works?filter=author.id:A5026854954,74,18,JP
https://openalex.org/A5028932589,Akira Gotō,https://api.openalex.org/works?filter=author.id:A5028932589,558,44,JP
https://openalex.org/A5082554858,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5082554858,637,53,JP
https://openalex.org/A5038976962,Albert‐László Barabási,https://api.openalex.org/works?filter=author.id:A5038976962,666,154,US
https://openalex.org/A5033831688,Alberto Acerbi,https://api.openalex.org/works?filter=author.id:A5033831688,162,29,IT
,Alejandro Sarria-Morales,,,,
https://openalex.org/A5043488321,Aleksei Gorgadze,https://api.openalex.org/works?filter=author.id:A5043488321,7,3,RU
https://openalex.org/A5079161259,Aleksi Aaltonen,https://api.openalex.org/works?filter=author.id:A5079161259,44,9,US
https://openalex.org/A5011228873,Alessandro Flammini,https://api.openalex.org/works?filter=author.id:A5011228873,257,67,IT
https://openalex.org/A5058373325,Francesco Piazza,https://api.openalex.org/works?filter=author.id:A5058373325,236,36,IT
https://openalex.org/A5025069859,Alessia Antelmi,https://api.openalex.org/works?filter=author.id:A5025069859,33,8,IT
https://openalex.org/A5089055856,Alex McAvoy,https://api.openalex.org/works?filter=author.id:A5089055856,50,16,US
https://openalex.org/A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,1033,122,US
https://openalex.org/A5029104172,Alex Rutherford,https://api.openalex.org/works?filter=author.id:A5029104172,53,13,DE
https://openalex.org/A5037451955,Alexander Furnas,https://api.openalex.org/works?filter=author.id:A5037451955,51,6,US
https://openalex.org/A5047198701,Alexander J. Gates,https://api.openalex.org/works?filter=author.id:A5047198701,45,13,US
https://openalex.org/A5107185222,Alexander R. Caceres-Wright,https://api.openalex.org/works?filter=author.id:A5107185222,1,0,[]
https://openalex.org/A5037507641,Alexander Wenz,https://api.openalex.org/works?filter=author.id:A5037507641,50,15,DE
https://openalex.org/A5054478253,Alexandra Segerberg,https://api.openalex.org/works?filter=author.id:A5054478253,34,14,SE
https://openalex.org/A5093992721,Alexandria Leto,https://api.openalex.org/works?filter=author.id:A5093992721,4,0,[]
https://openalex.org/A5041253633,Ali Hürriyetoğlu,https://api.openalex.org/works?filter=author.id:A5041253633,72,12,TR
https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,50,11,DE
https://openalex.org/A5092489673,Alicja Chaszczewicz,https://api.openalex.org/works?filter=author.id:A5092489673,4,1,[]
https://openalex.org/A5108870187,Alina Fonseca Flores,https://api.openalex.org/works?filter=author.id:A5108870187,1,0,[]
https://openalex.org/A5017332030,Alina Herderich,https://api.openalex.org/works?filter=author.id:A5017332030,9,3,AT
,Alireza Ilami,,,,
https://openalex.org/A5048088355,Alireza Javadian Sabet,https://api.openalex.org/works?filter=author.id:A5048088355,25,6,US
https://openalex.org/A5087471530,Allison Koenecke,https://api.openalex.org/works?filter=author.id:A5087471530,40,8,US
https://openalex.org/A5108189679,A. Wan,https://api.openalex.org/works?filter=author.id:A5108189679,10,3,US
https://openalex.org/A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,42,9,IL
https://openalex.org/A5058939619,Alvin Zhou,https://api.openalex.org/works?filter=author.id:A5058939619,59,14,US
https://openalex.org/A5019023655,Alyssa Smith,https://api.openalex.org/works?filter=author.id:A5019023655,4,2,MX
,Amanda Zaner,,,,
https://openalex.org/A5066951068,Amir Tohidi Kalorazi,https://api.openalex.org/works?filter=author.id:A5066951068,1,0,[]
,Amirhossein Nakhaei,,,,
https://openalex.org/A5025218700,Amit Goldenberg,https://api.openalex.org/works?filter=author.id:A5025218700,138,26,US
https://openalex.org/A5031056767,Amy Hagopian,https://api.openalex.org/works?filter=author.id:A5031056767,127,30,US
https://openalex.org/A5072436705,Anastasia Karpova,https://api.openalex.org/works?filter=author.id:A5072436705,8,2,[]
https://openalex.org/A5006314379,Anastasia Kozyreva,https://api.openalex.org/works?filter=author.id:A5006314379,37,13,DE
https://openalex.org/A5090252428,Anastasia Kuzminykh,https://api.openalex.org/works?filter=author.id:A5090252428,49,8,CA
https://openalex.org/A5042359253,Anastasios Evgenidis,https://api.openalex.org/works?filter=author.id:A5042359253,39,10,GB
,Ancsa Hannak,,,,
https://openalex.org/A5020418858,Anders Giovanni Møller,https://api.openalex.org/works?filter=author.id:A5020418858,6,2,DK
,Anders Weile,,,,
https://openalex.org/A5025211180,Andrea Forte,https://api.openalex.org/works?filter=author.id:A5025211180,150,32,US
https://openalex.org/A5007368682,Andrea Musso,https://api.openalex.org/works?filter=author.id:A5007368682,39,10,CH
https://openalex.org/A5066187890,Andrea Passerini,https://api.openalex.org/works?filter=author.id:A5066187890,237,28,IT
https://openalex.org/A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,33,8,DK
https://openalex.org/A5038897083,Andrés Abeliuk,https://api.openalex.org/works?filter=author.id:A5038897083,76,14,CL
https://openalex.org/A5101466578,A. G. Buckley,https://api.openalex.org/works?filter=author.id:A5101466578,1955,146,GB
https://openalex.org/A5020081727,Andrew Iliadis,https://api.openalex.org/works?filter=author.id:A5020081727,55,10,US
https://openalex.org/A5028184419,Paul A. Davis,https://api.openalex.org/works?filter=author.id:A5028184419,281,61,US
https://openalex.org/A5012236452,Andrew Renninger,https://api.openalex.org/works?filter=author.id:A5012236452,17,3,GB
https://openalex.org/A5108018053,Andrés Gvirtz,https://api.openalex.org/works?filter=author.id:A5108018053,17,4,GB
https://openalex.org/A5069503439,Angela Zavaleta Bernuy,https://api.openalex.org/works?filter=author.id:A5069503439,40,5,CA
https://openalex.org/A5002575847,Angelina Wang,https://api.openalex.org/works?filter=author.id:A5002575847,38,12,US
https://openalex.org/A5064591138,Angelita Repetto,https://api.openalex.org/works?filter=author.id:A5064591138,4,1,US
https://openalex.org/A5070488104,Angelos Chatzimparmpas,https://api.openalex.org/works?filter=author.id:A5070488104,32,7,NL
https://openalex.org/A5002117379,Anita Keshmirian,https://api.openalex.org/works?filter=author.id:A5002117379,6,3,US
https://openalex.org/A5022479813,Anjalie Field,https://api.openalex.org/works?filter=author.id:A5022479813,138,31,US
https://openalex.org/A5004151123,Ankit Aich,https://api.openalex.org/works?filter=author.id:A5004151123,13,4,DK
https://openalex.org/A5012994458,Ankita Gupta,https://api.openalex.org/works?filter=author.id:A5012994458,203,20,IN
https://openalex.org/A5110627453,Anku Rani,https://api.openalex.org/works?filter=author.id:A5110627453,19,5,US
https://openalex.org/A5023968831,Anna B. Stephenson,https://api.openalex.org/works?filter=author.id:A5023968831,36,8,US
https://openalex.org/A5113457185,Anna L. Ells,https://api.openalex.org/works?filter=author.id:A5113457185,136,28,CA
https://openalex.org/A5102733770,Anna Seo Gyeong Choi,https://api.openalex.org/works?filter=author.id:A5102733770,6,2,US
https://openalex.org/A5037838698,Anna‐Carolina Haensch,https://api.openalex.org/works?filter=author.id:A5037838698,29,4,DE
https://openalex.org/A5086655976,Anne‐Marie Nussberger,https://api.openalex.org/works?filter=author.id:A5086655976,23,8,GB
https://openalex.org/A5033297158,Anoushka Kiyawat,https://api.openalex.org/works?filter=author.id:A5033297158,5,1,US
https://openalex.org/A5100757577,Anqi Liu,https://api.openalex.org/works?filter=author.id:A5100757577,174,21,CN
https://openalex.org/A5115594465,Anqi Shao,https://api.openalex.org/works?filter=author.id:A5115594465,16,4,US
https://openalex.org/A5084759534,Frank A. Cusimano,https://api.openalex.org/works?filter=author.id:A5084759534,18,6,US
https://openalex.org/A5015651100,Antoine Vendeville,https://api.openalex.org/works?filter=author.id:A5015651100,16,4,GB
https://openalex.org/A5078906245,Antonio Longa,https://api.openalex.org/works?filter=author.id:A5078906245,33,7,IT
https://openalex.org/A5089890523,Anubhab Das,https://api.openalex.org/works?filter=author.id:A5089890523,9,4,IN
https://openalex.org/A5006404907,Aoi Naito,https://api.openalex.org/works?filter=author.id:A5006404907,11,3,JP
https://openalex.org/A5053835888,Aparna Ananthasubramaniam,https://api.openalex.org/works?filter=author.id:A5053835888,15,3,US
https://openalex.org/A5078974283,Apostolos Fasianos,https://api.openalex.org/works?filter=author.id:A5078974283,26,8,GR
https://openalex.org/A5007924006,Aria Pessianzadeh,https://api.openalex.org/works?filter=author.id:A5007924006,2,1,US
https://openalex.org/A5050946877,Ariadna Albors Zumel,https://api.openalex.org/works?filter=author.id:A5050946877,2,0,[]
https://openalex.org/A5090819842,Ariane Kelly Costa,https://api.openalex.org/works?filter=author.id:A5090819842,1,0,BR
https://openalex.org/A5040192490,Arianna Pera,https://api.openalex.org/works?filter=author.id:A5040192490,7,2,DK
https://openalex.org/A5051193196,Aritra Dasgupta,https://api.openalex.org/works?filter=author.id:A5051193196,68,17,US
https://openalex.org/A5074624254,Armin Shams,https://api.openalex.org/works?filter=author.id:A5074624254,6,1,IE
https://openalex.org/A5041800454,Ashish Kumar Sarker,https://api.openalex.org/works?filter=author.id:A5041800454,49,8,BD
https://openalex.org/A5022756567,Arnab Sircar,https://api.openalex.org/works?filter=author.id:A5022756567,2,1,[]
https://openalex.org/A5025112887,Artem Kuriksha,https://api.openalex.org/works?filter=author.id:A5025112887,5,2,US
https://openalex.org/A5101925935,Arunas Radzvilavicius,https://api.openalex.org/works?filter=author.id:A5101925935,21,5,NO
https://openalex.org/A5018810732,Asael H. Sorensen,https://api.openalex.org/works?filter=author.id:A5018810732,2,0,[]
https://openalex.org/A5093053789,Ashi Garg,https://api.openalex.org/works?filter=author.id:A5093053789,1,1,[]
https://openalex.org/A5048789742,Ashton Anderson,https://api.openalex.org/works?filter=author.id:A5048789742,87,22,US
https://openalex.org/A5045356775,Asmeret Bier Naugle,https://api.openalex.org/works?filter=author.id:A5045356775,52,5,US
https://openalex.org/A5060864902,Atom Sonoda,https://api.openalex.org/works?filter=author.id:A5060864902,11,2,JP
,Atticus McWhorter,,,,
https://openalex.org/A5065544460,Attila Varga,https://api.openalex.org/works?filter=author.id:A5065544460,211,30,HU
https://openalex.org/A5058033902,Anoop Chawla,https://api.openalex.org/works?filter=author.id:A5058033902,151,17,IN
https://openalex.org/A5021905307,Axel Peytavin,https://api.openalex.org/works?filter=author.id:A5021905307,17,3,NL
https://openalex.org/A5058457102,Ayan-Yue Gupta,https://api.openalex.org/works?filter=author.id:A5058457102,22,2,GB
https://openalex.org/A5043382223,Babak Hemmatian,https://api.openalex.org/works?filter=author.id:A5043382223,31,4,US
https://openalex.org/A5030641600,Babak Heydari,https://api.openalex.org/works?filter=author.id:A5030641600,97,20,MX
https://openalex.org/A5112838150,Badr AlKhamissi,https://api.openalex.org/works?filter=author.id:A5112838150,35,7,CH
https://openalex.org/A5033543507,Baird Howland,https://api.openalex.org/works?filter=author.id:A5033543507,6,4,US
https://openalex.org/A5043896739,Balaraju Battu,https://api.openalex.org/works?filter=author.id:A5043896739,21,6,US
https://openalex.org/A5003963130,Bao-Tran Truong,https://api.openalex.org/works?filter=author.id:A5003963130,10,6,
,Baoqi Eileen Chen,,,,
https://openalex.org/A5059953820,Bella Struminskaya,https://api.openalex.org/works?filter=author.id:A5059953820,55,11,NL
,Belén C Saldías Fuentes,,,,
https://openalex.org/A5035739105,Ben Rochford,https://api.openalex.org/works?filter=author.id:A5035739105,3,1,US
https://openalex.org/A5091210858,Bence Kollányi,https://api.openalex.org/works?filter=author.id:A5091210858,32,12,HU
https://openalex.org/A5049389261,Bence Ságvári,https://api.openalex.org/works?filter=author.id:A5049389261,55,10,HU
https://openalex.org/A5011973581,Benjamin C. Kennedy,https://api.openalex.org/works?filter=author.id:A5011973581,116,23,US
https://openalex.org/A5079813490,Benjamin F. Jones,https://api.openalex.org/works?filter=author.id:A5079813490,188,47,PH
https://openalex.org/A5065476982,Benjamin Q. Huynh,https://api.openalex.org/works?filter=author.id:A5065476982,37,14,US
,Benjamin Roger Litterer,,,,
https://openalex.org/A5012908746,Benjamin Manning,https://api.openalex.org/works?filter=author.id:A5012908746,10,4,US
https://openalex.org/A5054308726,Bernardo García Bulle Bueno,https://api.openalex.org/works?filter=author.id:A5054308726,14,5,US
https://openalex.org/A5067990394,Bernie Hogan,https://api.openalex.org/works?filter=author.id:A5067990394,84,28,GB
https://openalex.org/A5011857931,Bhargav Srinivasa Desikan,https://api.openalex.org/works?filter=author.id:A5011857931,20,6,GB
https://openalex.org/A5022729086,Bijin Joseph,https://api.openalex.org/works?filter=author.id:A5022729086,5,2,
https://openalex.org/A5100427314,Bin Chen,https://api.openalex.org/works?filter=author.id:A5100427314,609,80,CN
https://openalex.org/A5080505346,Blue Lerner,https://api.openalex.org/works?filter=author.id:A5080505346,4,2,US
https://openalex.org/A5046226201,Bojan Simoski,https://api.openalex.org/works?filter=author.id:A5046226201,14,4,NL
https://openalex.org/A5010666189,Bong Gwan Jun,https://api.openalex.org/works?filter=author.id:A5010666189,20,3,KR
,Borbála Zoé Ungvári,,,,
https://openalex.org/A5076193392,Brenda Curtis,https://api.openalex.org/works?filter=author.id:A5076193392,144,25,US
https://openalex.org/A5010924288,Brendan Nyhan,https://api.openalex.org/works?filter=author.id:A5010924288,255,50,US
https://openalex.org/A5023365550,Brendan O’Connor,https://api.openalex.org/works?filter=author.id:A5023365550,284,51,US
https://openalex.org/A5034550396,Brennan Klein,https://api.openalex.org/works?filter=author.id:A5034550396,64,14,US
https://openalex.org/A5015711710,Brian Uzzi,https://api.openalex.org/works?filter=author.id:A5015711710,192,51,US
https://openalex.org/A5006172855,Briony Swire‐Thompson,https://api.openalex.org/works?filter=author.id:A5006172855,46,16,US
https://openalex.org/A5047517174,Brooke Foucault Welles,https://api.openalex.org/works?filter=author.id:A5047517174,75,20,US
https://openalex.org/A5092145709,Brooke Perreault,https://api.openalex.org/works?filter=author.id:A5092145709,4,1,US
https://openalex.org/A5048877432,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5048877432,344,47,IT
https://openalex.org/A5085287152,Bryan Li,https://api.openalex.org/works?filter=author.id:A5085287152,91,18,US
https://openalex.org/A5036535243,Burak Özturan,https://api.openalex.org/works?filter=author.id:A5036535243,30,4,TR
https://openalex.org/A5039707142,Byunghwee Lee,https://api.openalex.org/works?filter=author.id:A5039707142,14,4,KR
https://openalex.org/A5066089123,Byungkyu Lee,https://api.openalex.org/works?filter=author.id:A5066089123,186,13,US
https://openalex.org/A5048880362,Tianji Cai,https://api.openalex.org/works?filter=author.id:A5048880362,74,17,MO
https://openalex.org/A5045607021,Calvin Isch,https://api.openalex.org/works?filter=author.id:A5045607021,22,5,US
https://openalex.org/A5083437430,Camelia E. Hostinar,https://api.openalex.org/works?filter=author.id:A5083437430,82,31,US
https://openalex.org/A5019218689,Cameron Lai,https://api.openalex.org/works?filter=author.id:A5019218689,5,1,JP
https://openalex.org/A5082698243,Cameron Martel,https://api.openalex.org/works?filter=author.id:A5082698243,46,15,US
https://openalex.org/A5075608375,Caoyifu Zhou,https://api.openalex.org/works?filter=author.id:A5075608375,1,0,[]
,Carina Kane,,,,
https://openalex.org/A5091610280,Carl Colglazier,https://api.openalex.org/works?filter=author.id:A5091610280,4,1,US
,Carolina Chavez-Ruelas,,,,
https://openalex.org/A5072186861,Carolina Coimbra Vieira,https://api.openalex.org/works?filter=author.id:A5072186861,21,4,DE
,Carolina F.T. Batista,,,,
https://openalex.org/A5061483468,Carsten Jung,https://api.openalex.org/works?filter=author.id:A5061483468,22,7,GB
https://openalex.org/A5033547967,Casey Doyle,https://api.openalex.org/works?filter=author.id:A5033547967,32,5,US
https://openalex.org/A5021170243,Cassandra Overney,https://api.openalex.org/works?filter=author.id:A5021170243,11,4,US
https://openalex.org/A5086827245,Ceren Budak,https://api.openalex.org/works?filter=author.id:A5086827245,102,22,US
https://openalex.org/A5101688309,Chunhua Han,https://api.openalex.org/works?filter=author.id:A5101688309,15,2,CN
https://openalex.org/A5022747234,Chaoqun Ni,https://api.openalex.org/works?filter=author.id:A5022747234,63,19,US
https://openalex.org/A5039940068,Charles Axelsson,https://api.openalex.org/works?filter=author.id:A5039940068,4,4,IT
https://openalex.org/A5021273972,Chun Yang,https://api.openalex.org/works?filter=author.id:A5021273972,793,70,CN
https://openalex.org/A5083277795,Cheng Yee Low,https://api.openalex.org/works?filter=author.id:A5083277795,151,25,US
https://openalex.org/A5100688642,Chengjun Wang,https://api.openalex.org/works?filter=author.id:A5100688642,237,37,CN
https://openalex.org/A5034362571,Chenyan Jia,https://api.openalex.org/works?filter=author.id:A5034362571,38,9,US
https://openalex.org/A5072564674,Chhandak Bagchi,https://api.openalex.org/works?filter=author.id:A5072564674,8,2,US
https://openalex.org/A5069479535,Chirag Mahapatra,https://api.openalex.org/works?filter=author.id:A5069479535,2,0,[]
https://openalex.org/A5056247832,Chloe Ahn,https://api.openalex.org/works?filter=author.id:A5056247832,4,3,US
https://openalex.org/A5068508539,Chris Callison-Burch,https://api.openalex.org/works?filter=author.id:A5068508539,381,61,US
https://openalex.org/A5063766667,Chris Chao Su,https://api.openalex.org/works?filter=author.id:A5063766667,25,7,US
https://openalex.org/A5028862879,Christopher P. Kempes,https://api.openalex.org/works?filter=author.id:A5028862879,132,22,US
,Chris Kempes (Santa Fe Institute),,,,
